Date,Team,fuckYOIU,WinLoss,
2017/10/17,BOS,0.117177455,L,0.347375032
2017/10/17,CLE,0.220145162,W,0.652624968
2017/10/17,HOU,0.295983479,W,0.48180501
2017/10/17,GSW,0.318338649,L,0.51819499
2017/10/18,MIL,0.215419367,W,0.753163435
2017/10/18,BOS,0.07060005,L,0.246836565
2017/10/18,ATL,0.088262943,W,0.648340387
2017/10/18,DAL,0.047873791,L,0.351659613
2017/10/18,CHA,0.197708653,L,0.600093958
2017/10/18,DET,0.131754176,W,0.399906042
2017/10/18,BKN,0.0254148,L,0.211638084
2017/10/18,IND,0.094671337,W,0.788361916
2017/10/18,NOR,0.256503479,L,0.633420127
2017/10/18,MEM,0.148446519,W,0.366579873
2017/10/18,MIA,0.21208475,L,0.627234215
2017/10/18,ORL,0.126042133,W,0.372765785
2017/10/18,POR,0.101703194,W,0.610169986
2017/10/18,PHX,0.064976905,L,0.389830014
2017/10/18,HOU,0.296289405,W,0.893249273
2017/10/18,SAC,0.035409051,L,0.106750727
2017/10/18,MIN,0.33905398,L,0.849706635
2017/10/18,SAS,0.059970773,W,0.150293365
2017/10/18,DEN,0.170291598,L,0.533090079
2017/10/18,UTA,0.149150847,W,0.466909921
2017/10/18,PHI,0.022653761,L,0.099255764
2017/10/18,WAS,0.205582462,W,0.900744236
2017/10/19,LAC,0.194600419,W,0.687316972
2017/10/19,LAL,0.088530112,L,0.312683028
2017/10/19,NYK,0.158263314,L,0.343190514
2017/10/19,OKC,0.302889624,W,0.656809486
2017/10/19,CHI,0.046396054,L,0.192490412
2017/10/19,TOR,0.194634413,W,0.807509588
2017/10/20,ORL,0.031336215,L,0.594501742
2017/10/20,BKN,0.021373832,W,0.405498258
2017/10/20,ATL,0.056124617,L,0.305621637
2017/10/20,CHA,0.127516232,W,0.694378363
2017/10/20,SAC,0.044765061,W,0.483221239
2017/10/20,DAL,0.047873791,L,0.516778761
2017/10/20,POR,0.101703194,W,0.772772493
2017/10/20,IND,0.029905002,L,0.227227507
2017/10/20,CLE,0.20609973,W,0.502493178
2017/10/20,MIL,0.204054555,L,0.497506822
2017/10/20,UTA,0.163163437,L,0.367959431
2017/10/20,MIN,0.280264351,W,0.632040569
2017/10/20,GSW,0.34197427,W,0.578566048
2017/10/20,NOR,0.249097867,L,0.421433952
2017/10/20,BOS,0.059896979,W,0.745910099
2017/10/20,PHI,0.020403555,L,0.254089901
2017/10/20,LAL,0.042323742,W,0.376133774
2017/10/20,PHX,0.070199368,L,0.623866226
2017/10/20,DET,0.131395026,L,0.387332482
2017/10/20,WAS,0.207835563,W,0.612667518
2017/10/21,SAS,0.122844229,W,0.787935665
2017/10/21,CHI,0.033062191,L,0.212064335
2017/10/21,ORL,0.025531412,W,0.105492304
2017/10/21,CLE,0.216490149,L,0.894507696
2017/10/21,SAC,0.044765061,L,0.19269997
2017/10/21,DEN,0.187539392,W,0.80730003
2017/10/21,DAL,0.042962228,L,0.150062617
2017/10/21,HOU,0.243333113,W,0.849937383
2017/10/21,PHX,0.059835673,L,0.238443534
2017/10/21,LAC,0.191107064,W,0.761556466
2017/10/21,GSW,0.34197427,L,0.682082083
2017/10/21,MEM,0.159393935,W,0.317917917
2017/10/21,IND,0.074762506,L,0.475396631
2017/10/21,MIA,0.082500926,W,0.524603369
2017/10/21,POR,0.102415401,L,0.341684331
2017/10/21,MIL,0.197321496,W,0.658315669
2017/10/21,DET,0.154967602,W,0.578317821
2017/10/21,NYK,0.112995093,L,0.421682179
2017/10/21,PHI,0.025772282,L,0.12609715
2017/10/21,TOR,0.178612053,W,0.87390285
2017/10/21,OKC,0.279406093,L,0.641960932
2017/10/21,UTA,0.155832376,W,0.358039068
2017/10/22,ATL,0.050440281,L,0.702372814
2017/10/22,BKN,0.021373832,W,0.297627186
2017/10/22,NOR,0.275322785,W,0.764398494
2017/10/22,LAL,0.084859485,L,0.235601506
2017/10/22,MIN,0.337439288,W,0.52942726
2017/10/22,OKC,0.299927379,L,0.47057274
2017/10/23,GSW,0.336422303,W,0.873303057
2017/10/23,DAL,0.048807429,L,0.126696943
2017/10/23,WAS,0.21330492,W,0.526904299
2017/10/23,DEN,0.191521764,L,0.473095701
2017/10/23,PHI,0.022653761,W,0.150481721
2017/10/23,DET,0.12788785,L,0.849518279
2017/10/23,MEM,0.115588212,W,0.332233258
2017/10/23,HOU,0.232324615,L,0.667766742
2017/10/23,ATL,0.04665267,L,0.361218512
2017/10/23,MIA,0.082500926,W,0.638781488
2017/10/23,CHA,0.186504735,L,0.483933085
2017/10/23,MIL,0.198888908,W,0.516066915
2017/10/23,SAC,0.044765061,L,0.49915356
2017/10/23,PHX,0.044916882,W,0.50084644
2017/10/23,TOR,0.163262526,L,0.729478495
2017/10/23,SAS,0.060544656,W,0.270521505
2017/10/24,NYK,0.157602807,L,0.682399221
2017/10/24,BOS,0.07335116,W,0.317600779
2017/10/24,CHI,0.046396054,L,0.176260126
2017/10/24,CLE,0.216828845,W,0.823739874
2017/10/24,UTA,0.161808902,L,0.458088231
2017/10/24,LAC,0.191417597,W,0.541911769
2017/10/24,IND,0.074762506,W,0.207707271
2017/10/24,MIN,0.285179183,L,0.792292729
2017/10/24,BKN,0.03833864,L,0.278688069
2017/10/24,ORL,0.099229645,W,0.721311931
2017/10/24,NOR,0.275322785,L,0.657088455
2017/10/24,POR,0.143681358,W,0.342911545
2017/10/25,CLE,0.203134392,L,0.883894646
